target,family,horizon,feature,importance,n_training_pairs
Children discharged from HHS Care,random_forest,1,rolling_7_mean_Children transferred out of CBP custody,0.04649897217943464,538
Children discharged from HHS Care,random_forest,1,rolling_7_var_Children transferred out of CBP custody,0.00581651420469005,538
Children discharged from HHS Care,random_forest,1,rolling_7_nobs_Children transferred out of CBP custody,0.00013527531497952548,538
Children discharged from HHS Care,random_forest,1,rolling_14_mean_Children transferred out of CBP custody,0.017662145466457113,538
Children discharged from HHS Care,random_forest,1,rolling_14_var_Children transferred out of CBP custody,0.0061640606050585075,538
Children discharged from HHS Care,random_forest,1,rolling_14_nobs_Children transferred out of CBP custody,0.00017629383914321954,538
Children discharged from HHS Care,random_forest,1,rolling_7_mean_Children in HHS Care,0.10875448429602466,538
Children discharged from HHS Care,random_forest,1,rolling_7_var_Children in HHS Care,0.001582739266471187,538
Children discharged from HHS Care,random_forest,1,rolling_7_nobs_Children in HHS Care,0.0,538
Children discharged from HHS Care,random_forest,1,rolling_14_mean_Children in HHS Care,0.09210724989855079,538
Children discharged from HHS Care,random_forest,1,rolling_14_var_Children in HHS Care,0.0017894550847130906,538
Children discharged from HHS Care,random_forest,1,rolling_14_nobs_Children in HHS Care,0.0,538
Children discharged from HHS Care,random_forest,1,rolling_7_mean_Children discharged from HHS Care,0.04051936475527625,538
Children discharged from HHS Care,random_forest,1,rolling_7_var_Children discharged from HHS Care,0.005960901604863121,538
Children discharged from HHS Care,random_forest,1,rolling_7_nobs_Children discharged from HHS Care,9.034711633868018e-05,538
Children discharged from HHS Care,random_forest,1,rolling_14_mean_Children discharged from HHS Care,0.06260722893916074,538
Children discharged from HHS Care,random_forest,1,rolling_14_var_Children discharged from HHS Care,0.00814856045614857,538
Children discharged from HHS Care,random_forest,1,rolling_14_nobs_Children discharged from HHS Care,0.00011340300670094012,538
Children discharged from HHS Care,random_forest,1,rolling_7_mean_net_flow,0.008564258364536984,538
Children discharged from HHS Care,random_forest,1,rolling_7_var_net_flow,0.0032396371729433568,538
Children discharged from HHS Care,random_forest,1,rolling_7_nobs_net_flow,0.00010325729597623249,538
Children discharged from HHS Care,random_forest,1,rolling_14_mean_net_flow,0.013063254909789289,538
Children discharged from HHS Care,random_forest,1,rolling_14_var_net_flow,0.005893525904162586,538
Children discharged from HHS Care,random_forest,1,rolling_14_nobs_net_flow,0.00010529749255275862,538
Children discharged from HHS Care,random_forest,7,day_of_week,0.020423603854236867,531
Children discharged from HHS Care,random_forest,7,month,0.008255108475004219,531
Children discharged from HHS Care,random_forest,7,is_near_holiday,7.241795218398824e-05,531
Children discharged from HHS Care,random_forest,7,lag_1_Children apprehended and placed in CBP custody*,0.028105377294790092,531
Children discharged from HHS Care,random_forest,7,lag_7_Children apprehended and placed in CBP custody*,0.0014066877312405618,531
Children discharged from HHS Care,random_forest,7,lag_14_Children apprehended and placed in CBP custody*,0.0019499744307027189,531
Children discharged from HHS Care,random_forest,7,lag_1_Children in CBP custody,0.021994063463397533,531
Children discharged from HHS Care,random_forest,7,lag_7_Children in CBP custody,0.002541141403858998,531
Children discharged from HHS Care,random_forest,7,lag_14_Children in CBP custody,0.002361752303490917,531
Children discharged from HHS Care,random_forest,7,lag_1_Children transferred out of CBP custody,0.023214337800672086,531
Children discharged from HHS Care,random_forest,7,lag_7_Children transferred out of CBP custody,0.003590592419072287,531
Children discharged from HHS Care,random_forest,7,lag_14_Children transferred out of CBP custody,0.002612500147924842,531
Children discharged from HHS Care,random_forest,7,lag_1_Children in HHS Care,0.11829851198734359,531
Children discharged from HHS Care,random_forest,7,lag_7_Children in HHS Care,0.0746589071373185,531
Children discharged from HHS Care,random_forest,7,lag_14_Children in HHS Care,0.057964061202905856,531
Children discharged from HHS Care,random_forest,7,lag_1_Children discharged from HHS Care,0.027674049289274062,531
